EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInRole,MonthsInCurrentRole,PercentSalaryHike,NumCompaniesWorked,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PromotionInLast5Years,Gender,MaritalStatus,EducationField,Attrition
1,56,Operations,Engineer,13263,18,15,14,20,2,4,3,2,3,1,1,Male,Married,Technical,0
2,46,Sales,Analyst,13118,16,5,31,17,5,27,4,4,1,0,1,Male,Single,Technical,0
3,32,HR,Specialist,9735,12,12,32,18,6,3,2,3,2,4,1,Female,Single,Technical,0
4,60,IT,Specialist,4118,6,3,16,19,0,9,3,2,3,1,1,Male,Married,Life Sciences,1
5,25,HR,Executive,4663,26,13,23,11,1,24,3,4,4,5,0,Male,Married,Technical,0
6,38,Operations,Executive,4442,9,0,29,25,3,22,4,4,1,0,1,Male,Single,Life Sciences,1
7,56,IT,Executive,3425,33,19,12,24,7,17,3,1,4,4,0,Female,Single,Technical,0
8,36,Finance,Analyst,4472,35,4,58,15,9,14,4,1,2,3,1,Female,Married,Life Sciences,1
9,40,HR,Analyst,13205,24,7,46,14,5,10,1,2,2,5,1,Female,Single,Other,1
10,28,IT,Engineer,12140,5,11,47,14,0,13,4,1,1,1,1,Male,Single,Other,0
11,28,HR,Executive,12466,23,1,15,19,9,12,3,2,3,3,1,Male,Married,Life Sciences,0
12,41,IT,Specialist,18874,17,11,1,20,4,27,3,2,2,2,1,Male,Married,Medical,1
13,53,Sales,Manager,12638,22,4,16,12,6,1,2,2,2,5,0,Male,Divorced,Medical,0
14,57,HR,Engineer,19696,5,4,31,21,5,28,2,1,2,5,1,Male,Married,Life Sciences,0
15,41,Finance,Analyst,17435,28,12,42,17,8,22,2,3,2,4,0,Female,Married,Other,0
16,20,Finance,Engineer,14645,24,8,7,23,7,29,2,2,4,4,0,Male,Married,Life Sciences,1
17,39,Operations,Engineer,1989,16,9,51,17,3,19,3,3,4,1,1,Male,Divorced,Medical,0
18,19,IT,Engineer,13248,23,0,2,25,4,19,2,4,3,5,0,Female,Single,Life Sciences,0
19,41,HR,Engineer,5016,10,2,11,21,6,6,4,1,1,4,1,Female,Married,Other,1
20,61,Operations,Manager,7910,25,17,19,14,7,13,1,1,1,2,1,Male,Married,Medical,0
21,47,HR,Executive,1553,33,11,15,17,4,19,3,3,1,4,1,Female,Divorced,Medical,0
